data,quantidade
2022-01-03,1500
2022-01-03,15
2022-01-03,18
2022-01-03,450
2022-01-03,3411
2022-01-03,2511
2022-01-04,600
2022-01-04,3702
2022-01-04,378
2022-01-04,1482
2022-01-05,2700
2022-01-05,90
2022-01-05,150
2022-01-05,900
2022-01-05,150
2022-01-05,1551
2022-01-05,1500
2022-01-06,360
2022-01-06,720
2022-01-06,3012
2022-01-06,6093
2022-01-06,450
2022-01-06,750
2022-01-07,3600
2022-01-07,1710
2022-01-07,717
2022-01-07,2886
2022-01-07,486
2022-01-07,120
2022-01-07,10545
2022-01-08,810
2022-01-08,1500
2022-01-10,1800
2022-01-10,300
2022-01-10,2550
2022-01-10,939
2022-01-10,5520
2022-01-10,450
2022-01-10,180
2022-01-11,672
2022-01-11,1401
2022-01-11,360
2022-01-11,600
2022-01-11,480
2022-01-11,1707
2022-01-11,3000
2022-01-11,9606
2022-01-12,5580
2022-01-12,1401
2022-01-12,600
2022-01-12,492
2022-01-12,546
2022-01-12,1500
2022-01-12,45
2022-01-13,3945
2022-01-13,600
2022-01-13,5172
2022-01-14,4401
2022-01-14,750
2022-01-14,3624
2022-01-14,6360
2022-01-14,360
2022-01-14,480
2022-01-14,180
2022-01-14,555
2022-01-14,606
2022-01-15,150
2022-01-17,5268
2022-01-17,5931
2022-01-17,30
2022-01-17,2550
2022-01-17,600
2022-01-17,6000
2022-01-18,1980
2022-01-18,390
2022-01-18,1500
2022-01-18,4695
2022-01-19,6030
2022-01-19,165
2022-01-19,522
2022-01-19,657
2022-01-19,108
2022-01-19,600
2022-01-20,600
2022-01-20,105
2022-01-20,1470
2022-01-20,1065
2022-01-20,300
2022-01-20,1860
2022-01-20,90
2022-01-20,165
2022-01-21,3000
2022-01-21,1170
2022-01-21,1401
2022-01-21,6108
2022-01-21,1074
2022-01-21,45
2022-01-21,1500
2022-01-24,1620
2022-01-24,6465
2022-01-24,2970
2022-01-24,4182
2022-01-25,6936
2022-01-25,3720
2022-01-25,375
2022-01-25,570
2022-01-25,600
2022-01-25,12000
2022-01-25,1281
2022-01-25,501
2022-01-25,900
2022-01-26,1560
2022-01-26,3600
2022-01-26,1635
2022-01-26,630
2022-01-26,1650
2022-01-26,9357
2022-01-26,270
2022-01-27,2880
2022-01-27,1797
2022-01-27,60
2022-01-28,3993
2022-01-28,1071
2022-01-28,1500
2022-01-28,411
2022-01-28,1860
2022-01-31,480
2022-01-31,600
2022-01-31,4215
2022-01-31,15
2022-01-31,2400
2022-01-31,3162
2022-01-31,1512
2022-02-01,300
2022-02-01,300
2022-02-01,903
2022-02-01,1029
2022-02-01,300
